name_length,name_type,father_name_length,father_name_type,dob_valid,pan_number_length,pan_number_type,pan_valid
11,Valid,11,Valid,Valid,10,Valid,Valid
16,Valid,13,Valid,Valid,10,Valid,Valid
15,Valid,10,Valid,Valid,10,Valid,Valid
14,Valid,12,Valid,Valid,10,Valid,Valid
14,Valid,11,Valid,Valid,10,Valid,Valid
11,Valid,14,Valid,Valid,10,Valid,Valid
12,Valid,11,Valid,Valid,10,Valid,Valid
11,Valid,18,Valid,Valid,10,Valid,Valid
12,Valid,13,Valid,Valid,10,Valid,Valid
14,Valid,20,Valid,Valid,10,Valid,Valid
16,Valid,13,Valid,Valid,10,Valid,Valid
13,Valid,15,Valid,Valid,10,Valid,Valid
13,Valid,13,Valid,Valid,10,Valid,Valid
11,Valid,12,Valid,Valid,10,Valid,Valid
12,Valid,12,Valid,Valid,10,Valid,Valid
11,Valid,12,Valid,Valid,10,Valid,Valid
13,Valid,12,Valid,Valid,10,Valid,Valid
13,Valid,11,Valid,Valid,10,Valid,Valid
10,Valid,14,Valid,Valid,10,Valid,Valid
13,Valid,20,Valid,Valid,10,Valid,Valid
11,Valid,13,Valid,Valid,10,Valid,Valid
11,Valid,10,Valid,Valid,10,Valid,Valid
11,Valid,13,Valid,Valid,10,Valid,Valid
15,Valid,15,Valid,Valid,10,Valid,Valid
17,Valid,16,Valid,Valid,10,Valid,Valid
15,Valid,14,Valid,Valid,10,Valid,Valid
15,Valid,14,Valid,Valid,10,Valid,Valid
12,Valid,15,Valid,Valid,10,Valid,Valid
13,Valid,12,Valid,Valid,10,Valid,Valid
14,Valid,11,Valid,Valid,10,Valid,Valid
12,Valid,12,Valid,Valid,10,Valid,Valid
12,Valid,15,Valid,Valid,10,Valid,Valid
12,Valid,13,Valid,Valid,10,Valid,Valid
13,Valid,14,Valid,Valid,10,Valid,Valid
13,Valid,14,Valid,Valid,10,Valid,Valid
15,Valid,11,Valid,Valid,10,Valid,Valid
11,Valid,10,Valid,Valid,10,Valid,Valid
12,Valid,10,Valid,Invalid,10,Invalid,Invalid
12,Valid,14,Valid,Valid,10,Valid,Valid
12,Valid,18,Valid,Valid,10,Valid,Valid
15,Valid,16,Valid,Valid,10,Valid,Valid
14,Valid,13,Valid,Valid,10,Valid,Valid
15,Valid,13,Valid,Valid,10,Valid,Valid
16,Valid,12,Valid,Valid,10,Valid,Valid
12,Valid,12,Valid,Valid,10,Valid,Valid
14,Valid,11,Valid,Valid,10,Valid,Valid
15,Valid,14,Valid,Valid,10,Valid,Valid
14,Valid,14,Valid,Valid,10,Valid,Valid
13,Valid,14,Valid,Valid,10,Valid,Valid
13,Valid,13,Valid,Valid,10,Valid,Valid
12,Valid,11,Valid,Valid,10,Valid,Valid
15,Valid,13,Valid,Valid,10,Valid,Valid
12,Valid,11,Valid,Valid,10,Valid,Valid
10,Valid,19,Valid,Valid,10,Valid,Valid
13,Valid,13,Valid,Valid,10,Valid,Valid
12,Valid,16,Valid,Valid,10,Valid,Valid
12,Valid,14,Valid,Valid,10,Valid,Valid
18,Valid,13,Valid,Valid,10,Valid,Valid
12,Valid,13,Valid,Valid,10,Valid,Valid
14,Valid,13,Valid,Valid,10,Valid,Valid
13,Valid,15,Valid,Valid,10,Valid,Valid
13,Valid,14,Valid,Valid,10,Valid,Valid
16,Valid,15,Valid,Valid,10,Valid,Valid
12,Valid,14,Valid,Valid,10,Valid,Valid
16,Valid,14,Valid,Valid,10,Valid,Valid
20,Valid,10,Valid,Valid,10,Valid,Valid
11,Valid,11,Valid,Valid,10,Valid,Valid
17,Valid,10,Valid,Valid,10,Valid,Valid
15,Valid,13,Valid,Valid,10,Valid,Valid
13,Valid,14,Valid,Valid,10,Valid,Valid
17,Valid,10,Valid,Valid,10,Valid,Valid
10,Valid,15,Valid,Valid,10,Valid,Valid
10,Valid,14,Valid,Valid,10,Valid,Valid
13,Valid,11,Valid,Valid,10,Valid,Valid
14,Valid,14,Valid,Valid,10,Valid,Valid
14,Valid,14,Valid,Valid,10,Valid,Valid
14,Valid,15,Valid,Valid,10,Valid,Valid
14,Valid,17,Valid,Valid,10,Valid,Valid
14,Valid,13,Valid,Valid,10,Valid,Valid
12,Valid,11,Valid,Valid,10,Valid,Valid
12,Valid,11,Valid,Valid,10,Valid,Valid
13,Valid,14,Valid,Valid,10,Valid,Valid
14,Valid,14,Valid,Valid,10,Valid,Valid
19,Valid,13,Valid,Valid,10,Valid,Valid
13,Valid,19,Valid,Valid,10,Valid,Valid
10,Valid,19,Valid,Valid,10,Valid,Valid
14,Valid,11,Valid,Valid,10,Valid,Valid
16,Valid,12,Valid,Valid,10,Valid,Valid
13,Valid,13,Valid,Valid,10,Valid,Valid
14,Valid,14,Valid,Valid,10,Valid,Valid
12,Valid,16,Valid,Valid,10,Valid,Valid
13,Valid,10,Valid,Valid,10,Valid,Valid
11,Valid,10,Valid,Valid,10,Valid,Valid
13,Valid,13,Valid,Valid,10,Valid,Valid
13,Valid,17,Valid,Valid,10,Valid,Valid
11,Valid,15,Valid,Valid,10,Valid,Valid
13,Valid,14,Valid,Valid,10,Valid,Valid
13,Valid,17,Valid,Valid,10,Valid,Valid
10,Valid,10,Valid,Valid,10,Valid,Valid
13,Valid,11,Valid,Valid,10,Valid,Valid
12,Valid,18,Valid,Invalid,12,Invalid,Invalid
15,Valid,19,Valid,Valid,10,Valid,Valid
11,Valid,16,Valid,Valid,10,Valid,Valid
15,Valid,11,Valid,Valid,10,Valid,Valid
14,Valid,13,Valid,Valid,10,Valid,Valid
14,Valid,11,Valid,Valid,10,Valid,Valid
14,Valid,12,Valid,Valid,10,Valid,Valid
13,Valid,16,Valid,Valid,10,Valid,Valid
12,Valid,15,Valid,Valid,10,Valid,Valid
18,Valid,13,Valid,Valid,10,Valid,Valid
13,Valid,14,Valid,Valid,10,Valid,Valid
20,Valid,12,Valid,Valid,10,Valid,Valid
16,Valid,13,Valid,Valid,10,Valid,Valid
13,Valid,19,Valid,Valid,10,Valid,Valid
11,Valid,14,Valid,Valid,10,Valid,Valid
13,Valid,12,Valid,Valid,10,Valid,Valid
13,Valid,16,Valid,Valid,10,Valid,Valid
12,Valid,12,Valid,Valid,10,Valid,Valid
11,Valid,14,Valid,Valid,10,Valid,Valid
14,Valid,13,Valid,Valid,10,Valid,Valid
14,Valid,12,Valid,Valid,10,Valid,Valid
13,Valid,13,Valid,Valid,10,Valid,Valid
13,Valid,13,Valid,Valid,10,Valid,Valid
13,Valid,11,Valid,Valid,10,Valid,Valid
14,Valid,13,Valid,Valid,10,Valid,Valid
11,Valid,11,Valid,Valid,10,Valid,Valid
14,Valid,15,Valid,Valid,10,Valid,Valid
11,Valid,14,Valid,Valid,10,Valid,Valid
13,Valid,14,Valid,Valid,10,Valid,Valid
14,Valid,12,Valid,Valid,10,Valid,Valid
15,Valid,13,Valid,Valid,10,Valid,Valid
13,Valid,11,Valid,Valid,10,Valid,Valid
13,Valid,12,Valid,Valid,10,Valid,Valid
12,Valid,11,Valid,Valid,10,Valid,Valid
14,Valid,15,Valid,Valid,10,Valid,Valid
13,Valid,13,Valid,Valid,1,Invalid,Invalid
11,Valid,13,Valid,Valid,10,Valid,Valid
12,Valid,14,Valid,Valid,10,Valid,Valid
14,Valid,9,Valid,Valid,10,Valid,Valid
10,Valid,14,Valid,Valid,10,Valid,Valid
16,Valid,13,Valid,Valid,10,Valid,Valid
15,Valid,11,Valid,Valid,10,Valid,Valid
11,Valid,12,Valid,Valid,10,Valid,Valid
14,Valid,16,Valid,Valid,10,Valid,Valid
13,Valid,12,Valid,Valid,10,Valid,Valid
10,Valid,10,Valid,Valid,10,Valid,Valid
13,Valid,11,Valid,Valid,10,Valid,Valid
15,Valid,13,Valid,Valid,10,Valid,Valid
13,Valid,14,Valid,Valid,10,Valid,Valid
11,Valid,15,Valid,Valid,10,Valid,Valid
10,Valid,11,Valid,Valid,10,Valid,Valid
15,Valid,16,Valid,Valid,10,Valid,Valid
12,Valid,25,Valid,Valid,10,Valid,Valid
13,Valid,12,Valid,Valid,10,Valid,Valid
15,Valid,15,Valid,Valid,10,Valid,Valid
11,Valid,15,Valid,Valid,10,Valid,Valid
14,Valid,14,Valid,Valid,10,Valid,Valid
11,Valid,14,Valid,Valid,10,Valid,Valid
16,Valid,15,Valid,Valid,10,Valid,Valid
12,Valid,16,Valid,Valid,10,Valid,Valid
14,Valid,17,Valid,Valid,10,Valid,Valid
12,Valid,14,Valid,Valid,10,Valid,Valid
12,Valid,14,Valid,Valid,10,Valid,Valid
11,Valid,12,Valid,Valid,10,Valid,Valid
14,Valid,14,Valid,Valid,10,Valid,Valid
13,Valid,13,Valid,Valid,10,Valid,Valid
15,Valid,15,Valid,Valid,10,Valid,Valid
12,Valid,15,Valid,Valid,10,Valid,Valid
16,Valid,13,Valid,Valid,10,Valid,Valid
17,Valid,12,Valid,Valid,10,Valid,Valid
10,Valid,14,Valid,Valid,10,Valid,Valid
13,Valid,14,Valid,Valid,10,Valid,Valid
12,Valid,10,Valid,Valid,10,Valid,Valid
12,Valid,14,Valid,Valid,10,Valid,Valid
16,Valid,13,Valid,Valid,10,Valid,Valid
15,Valid,12,Valid,Valid,10,Valid,Valid
11,Valid,13,Valid,Valid,10,Valid,Valid
11,Valid,12,Valid,Valid,10,Valid,Valid
16,Valid,11,Valid,Valid,10,Valid,Valid
11,Valid,14,Valid,Valid,10,Valid,Valid
16,Valid,12,Valid,Valid,10,Valid,Valid
15,Valid,15,Valid,Valid,10,Valid,Valid
10,Valid,12,Valid,Valid,10,Valid,Valid
9,Valid,14,Valid,Valid,10,Valid,Valid
11,Valid,12,Valid,Valid,10,Valid,Valid
13,Valid,14,Valid,Valid,10,Valid,Valid
15,Valid,14,Valid,Valid,10,Valid,Valid
14,Valid,11,Valid,Valid,10,Valid,Valid
21,Valid,10,Valid,Valid,10,Valid,Valid
18,Valid,13,Valid,Valid,10,Valid,Valid
15,Valid,13,Valid,Valid,10,Valid,Valid
15,Valid,12,Valid,Valid,10,Valid,Valid
12,Valid,13,Valid,Valid,10,Valid,Valid
12,Valid,14,Valid,Valid,10,Valid,Valid
13,Valid,12,Valid,Valid,10,Valid,Valid
15,Valid,11,Valid,Valid,10,Valid,Valid
15,Valid,11,Valid,Valid,10,Valid,Valid
16,Valid,15,Valid,Valid,10,Valid,Valid
13,Valid,13,Valid,Valid,10,Valid,Valid
15,Valid,12,Valid,Valid,10,Valid,Valid
15,Valid,9,Valid,Valid,10,Valid,Valid
11,Valid,15,Valid,Valid,10,Valid,Valid
14,Valid,11,Valid,Valid,10,Valid,Valid
12,Valid,15,Valid,Valid,10,Valid,Valid
13,Valid,13,Valid,Valid,10,Valid,Valid
15,Valid,11,Valid,Valid,10,Valid,Valid
11,Valid,9,Valid,Valid,10,Valid,Valid
12,Valid,13,Valid,Valid,10,Valid,Valid
12,Valid,15,Valid,Valid,10,Valid,Valid
10,Valid,12,Valid,Valid,10,Valid,Valid
14,Valid,9,Valid,Valid,10,Valid,Valid
20,Valid,13,Valid,Valid,10,Valid,Valid
12,Valid,15,Valid,Valid,10,Valid,Valid
11,Valid,20,Valid,Valid,10,Valid,Valid
11,Valid,13,Valid,Valid,10,Valid,Valid
13,Valid,14,Valid,Valid,10,Valid,Valid
11,Valid,12,Valid,Valid,10,Valid,Valid
15,Valid,11,Valid,Valid,10,Valid,Valid
14,Valid,12,Valid,Valid,10,Valid,Valid
15,Valid,10,Valid,Valid,10,Valid,Valid
15,Valid,10,Valid,Valid,10,Valid,Valid
12,Valid,14,Valid,Valid,10,Valid,Valid
13,Valid,14,Valid,Valid,10,Valid,Valid
13,Valid,13,Valid,Valid,10,Valid,Valid
14,Valid,14,Valid,Valid,10,Valid,Valid
15,Valid,11,Valid,Valid,10,Valid,Valid
15,Valid,12,Valid,Valid,10,Valid,Valid
13,Valid,12,Valid,Valid,10,Valid,Valid
13,Valid,12,Valid,Valid,10,Valid,Valid
12,Valid,11,Valid,Valid,10,Valid,Valid
14,Valid,14,Valid,Valid,10,Valid,Valid
13,Valid,12,Valid,Valid,10,Valid,Valid
15,Valid,15,Valid,Valid,10,Valid,Valid
13,Valid,12,Valid,Valid,10,Valid,Valid
14,Valid,14,Valid,Valid,10,Valid,Valid
12,Valid,9,Valid,Valid,10,Valid,Valid
10,Valid,10,Valid,Valid,10,Valid,Valid
14,Valid,14,Valid,Valid,10,Valid,Valid
11,Valid,18,Valid,Valid,10,Valid,Valid
14,Valid,12,Valid,Valid,10,Valid,Valid
14,Valid,13,Valid,Valid,10,Valid,Valid
12,Valid,16,Valid,Valid,10,Valid,Valid
12,Valid,14,Valid,Valid,10,Valid,Valid
14,Valid,16,Valid,Valid,10,Valid,Valid
16,Valid,13,Valid,Valid,10,Valid,Valid
14,Valid,14,Valid,Valid,10,Valid,Valid
12,Valid,14,Valid,Valid,10,Valid,Valid
14,Valid,13,Valid,Valid,10,Valid,Valid
18,Valid,14,Valid,Valid,10,Valid,Valid
12,Valid,13,Valid,Valid,10,Valid,Valid
12,Valid,13,Valid,Valid,10,Valid,Valid
10,Valid,13,Valid,Valid,10,Valid,Valid
16,Valid,15,Valid,Valid,10,Valid,Valid
10,Valid,14,Valid,Valid,10,Valid,Valid
16,Valid,11,Valid,Valid,10,Valid,Valid
13,Valid,10,Valid,Valid,10,Valid,Valid
10,Valid,10,Valid,Valid,10,Valid,Valid
17,Valid,16,Valid,Valid,10,Valid,Valid
11,Valid,12,Valid,Valid,10,Valid,Valid
15,Valid,15,Valid,Valid,10,Valid,Valid
10,Valid,10,Valid,Valid,10,Valid,Valid
15,Valid,12,Valid,Valid,10,Valid,Valid
16,Valid,17,Valid,Valid,10,Valid,Valid
13,Valid,11,Valid,Valid,10,Valid,Valid
20,Valid,9,Valid,Valid,10,Valid,Valid
14,Valid,14,Valid,Valid,10,Valid,Valid
14,Valid,11,Valid,Valid,10,Valid,Valid
16,Valid,14,Valid,Valid,10,Valid,Valid
12,Valid,19,Valid,Valid,10,Valid,Valid
14,Valid,14,Valid,Valid,10,Valid,Valid
11,Valid,13,Valid,Valid,10,Valid,Valid
14,Valid,8,Valid,Valid,10,Valid,Valid
14,Valid,13,Valid,Valid,10,Valid,Valid
12,Valid,15,Valid,Valid,10,Valid,Valid
13,Valid,10,Valid,Valid,10,Valid,Valid
13,Valid,11,Valid,Valid,10,Valid,Valid
10,Valid,12,Valid,Valid,10,Valid,Valid
13,Valid,14,Valid,Valid,10,Valid,Valid
13,Valid,14,Valid,Valid,10,Valid,Valid
12,Valid,13,Valid,Valid,10,Valid,Valid
14,Valid,11,Valid,Valid,10,Valid,Valid
12,Valid,9,Valid,Valid,10,Valid,Valid
17,Valid,11,Valid,Valid,10,Valid,Valid
11,Valid,16,Valid,Valid,10,Valid,Valid
11,Valid,13,Valid,Valid,10,Valid,Valid
13,Valid,8,Valid,Valid,10,Valid,Valid
14,Valid,14,Valid,Valid,10,Valid,Valid
16,Valid,13,Valid,Valid,10,Valid,Valid
13,Valid,11,Valid,Valid,10,Valid,Valid
16,Valid,13,Valid,Valid,10,Valid,Valid
13,Valid,14,Valid,Valid,10,Valid,Valid
11,Valid,10,Valid,Valid,10,Valid,Valid
10,Valid,14,Valid,Valid,10,Valid,Valid
13,Valid,15,Valid,Valid,10,Valid,Valid
12,Valid,13,Valid,Valid,10,Valid,Valid
13,Valid,12,Valid,Valid,10,Valid,Valid
11,Valid,10,Valid,Valid,10,Valid,Valid
23,Valid,11,Valid,Valid,10,Valid,Valid
16,Valid,10,Valid,Valid,10,Valid,Valid
14,Valid,10,Valid,Valid,10,Valid,Valid
15,Valid,13,Valid,Valid,10,Valid,Valid
18,Valid,11,Valid,Valid,10,Valid,Valid
11,Valid,11,Valid,Invalid,2,Invalid,Invalid
12,Valid,15,Valid,Valid,10,Valid,Valid
9,Valid,13,Valid,Valid,10,Valid,Valid
12,Valid,12,Valid,Valid,10,Valid,Valid
11,Valid,13,Valid,Valid,10,Valid,Valid
12,Valid,13,Valid,Valid,10,Valid,Valid
16,Valid,13,Valid,Valid,10,Valid,Valid
10,Valid,12,Valid,Valid,10,Valid,Valid
15,Valid,13,Valid,Valid,10,Valid,Valid
12,Valid,14,Valid,Valid,10,Valid,Valid
12,Valid,11,Valid,Valid,10,Valid,Valid
14,Valid,11,Valid,Valid,10,Valid,Valid
14,Valid,13,Valid,Valid,10,Valid,Valid
13,Valid,18,Valid,Valid,10,Valid,Valid
15,Valid,11,Valid,Valid,10,Valid,Valid
14,Valid,13,Valid,Valid,10,Valid,Valid
14,Valid,14,Valid,Valid,10,Valid,Valid
10,Valid,11,Valid,Valid,10,Valid,Valid
16,Valid,14,Valid,Valid,10,Valid,Valid
12,Valid,14,Valid,Valid,10,Valid,Valid
11,Valid,13,Valid,Valid,10,Valid,Valid
12,Valid,14,Valid,Valid,10,Valid,Valid
10,Valid,16,Valid,Valid,10,Valid,Valid
13,Valid,12,Valid,Valid,10,Valid,Valid
16,Valid,14,Valid,Valid,10,Valid,Valid
15,Valid,15,Valid,Valid,10,Valid,Valid
11,Valid,13,Valid,Valid,10,Valid,Valid
15,Valid,15,Valid,Valid,10,Valid,Valid
15,Valid,15,Valid,Valid,10,Valid,Valid
14,Valid,11,Valid,Valid,10,Valid,Valid
14,Valid,12,Valid,Valid,10,Valid,Valid
15,Valid,13,Valid,Valid,10,Valid,Valid
15,Valid,14,Valid,Valid,10,Valid,Valid
13,Valid,14,Valid,Valid,10,Valid,Valid
12,Valid,10,Valid,Valid,10,Valid,Valid
16,Valid,13,Valid,Valid,10,Valid,Valid
13,Valid,17,Valid,Valid,10,Valid,Valid
11,Valid,13,Valid,Valid,10,Valid,Valid
13,Valid,13,Valid,Valid,10,Valid,Valid
10,Valid,13,Valid,Valid,10,Valid,Valid
11,Valid,14,Valid,Valid,10,Valid,Valid
12,Valid,14,Valid,Valid,10,Valid,Valid
11,Valid,14,Valid,Valid,10,Valid,Valid
14,Valid,13,Valid,Valid,10,Valid,Valid
15,Valid,13,Valid,Valid,10,Valid,Valid
12,Valid,14,Valid,Valid,10,Valid,Valid
12,Valid,10,Valid,Valid,10,Valid,Valid
16,Valid,13,Valid,Valid,10,Valid,Valid
14,Valid,13,Valid,Valid,10,Valid,Valid
12,Valid,13,Valid,Valid,10,Valid,Valid
15,Valid,16,Valid,Valid,10,Valid,Valid
14,Valid,11,Valid,Valid,10,Valid,Valid
11,Valid,12,Valid,Valid,10,Valid,Valid
14,Valid,13,Valid,Valid,10,Valid,Valid
16,Valid,10,Valid,Valid,10,Valid,Valid
10,Valid,13,Valid,Invalid,15,Invalid,Invalid
15,Valid,14,Valid,Valid,10,Valid,Valid
12,Valid,11,Valid,Valid,10,Valid,Valid
12,Valid,13,Valid,Valid,10,Valid,Valid
13,Valid,14,Valid,Valid,10,Valid,Valid
13,Valid,15,Valid,Valid,10,Valid,Valid
15,Valid,15,Valid,Valid,10,Valid,Valid
11,Valid,16,Valid,Valid,10,Valid,Valid
17,Valid,12,Valid,Valid,10,Valid,Valid
12,Valid,12,Valid,Valid,10,Valid,Valid
15,Valid,15,Valid,Valid,10,Valid,Valid
17,Valid,9,Valid,Valid,10,Valid,Valid
17,Valid,12,Valid,Valid,10,Valid,Valid
10,Valid,13,Valid,Valid,10,Valid,Valid
13,Valid,12,Valid,Valid,10,Valid,Valid
16,Valid,11,Valid,Valid,10,Valid,Valid
13,Valid,14,Valid,Valid,10,Valid,Valid
12,Valid,15,Valid,Valid,10,Valid,Valid
13,Valid,10,Valid,Valid,10,Valid,Valid
13,Valid,15,Valid,Valid,10,Valid,Valid
11,Valid,15,Valid,Valid,10,Valid,Valid
14,Valid,21,Valid,Valid,10,Valid,Valid
16,Valid,13,Valid,Valid,10,Valid,Valid
12,Valid,12,Valid,Valid,10,Valid,Valid
12,Valid,9,Valid,Valid,10,Valid,Valid
14,Valid,10,Valid,Valid,10,Valid,Valid
12,Valid,15,Valid,Valid,10,Valid,Valid
11,Valid,12,Valid,Valid,10,Valid,Valid
12,Valid,10,Valid,Valid,10,Valid,Valid
15,Valid,18,Valid,Valid,10,Valid,Valid
16,Valid,13,Valid,Valid,10,Valid,Valid
10,Valid,17,Valid,Valid,10,Valid,Valid
15,Valid,14,Valid,Valid,10,Valid,Valid
14,Valid,10,Valid,Valid,10,Valid,Valid
11,Valid,10,Valid,Valid,10,Valid,Valid
14,Valid,13,Valid,Valid,10,Valid,Valid
12,Valid,14,Valid,Valid,10,Valid,Valid
14,Valid,14,Valid,Valid,10,Valid,Valid
13,Valid,13,Valid,Valid,10,Valid,Valid
17,Valid,10,Valid,Valid,10,Valid,Valid
12,Valid,16,Valid,Valid,10,Valid,Valid
12,Valid,13,Valid,Valid,10,Valid,Valid
17,Valid,18,Valid,Valid,10,Valid,Valid
17,Valid,11,Valid,Valid,10,Valid,Valid
11,Valid,14,Valid,Valid,10,Valid,Valid
13,Valid,12,Valid,Valid,10,Valid,Valid
14,Valid,14,Valid,Valid,10,Valid,Valid
18,Valid,17,Valid,Valid,10,Valid,Valid
12,Valid,12,Valid,Valid,10,Valid,Valid
10,Valid,14,Valid,Valid,10,Valid,Valid
12,Valid,11,Valid,Valid,10,Valid,Valid
16,Valid,12,Valid,Valid,10,Valid,Valid
15,Valid,12,Valid,Valid,10,Valid,Valid
15,Valid,11,Valid,Valid,10,Valid,Valid
15,Valid,12,Valid,Valid,10,Valid,Valid
12,Valid,19,Valid,Valid,10,Valid,Valid
16,Valid,15,Valid,Valid,10,Valid,Valid
12,Valid,17,Valid,Valid,10,Valid,Valid
12,Valid,11,Valid,Valid,10,Valid,Valid
11,Valid,13,Valid,Valid,10,Valid,Valid
12,Valid,18,Valid,Valid,10,Valid,Valid
10,Valid,13,Valid,Valid,10,Valid,Valid
15,Valid,11,Valid,Valid,10,Valid,Valid
15,Valid,13,Valid,Valid,10,Valid,Valid
11,Valid,13,Valid,Valid,10,Valid,Valid
15,Valid,20,Valid,Valid,10,Valid,Valid
15,Valid,11,Valid,Valid,10,Valid,Valid
11,Valid,10,Valid,Valid,10,Valid,Valid
11,Valid,17,Valid,Valid,10,Valid,Valid
9,Valid,13,Valid,Valid,10,Valid,Valid
12,Valid,15,Valid,Valid,10,Valid,Valid
15,Valid,15,Valid,Valid,10,Valid,Valid
14,Valid,14,Valid,Valid,10,Valid,Valid
15,Valid,15,Valid,Valid,10,Valid,Valid
13,Valid,12,Valid,Valid,10,Valid,Valid
13,Valid,19,Valid,Valid,10,Valid,Valid
12,Valid,9,Valid,Valid,10,Valid,Valid
12,Valid,14,Valid,Valid,10,Valid,Valid
11,Valid,10,Valid,Valid,10,Valid,Valid
13,Valid,11,Valid,Valid,10,Valid,Valid
14,Valid,11,Valid,Valid,10,Valid,Valid
9,Valid,18,Valid,Valid,10,Valid,Valid
16,Valid,12,Valid,Valid,10,Valid,Valid
16,Valid,11,Valid,Valid,10,Valid,Valid
11,Valid,14,Valid,Valid,10,Valid,Valid
17,Valid,11,Valid,Valid,10,Valid,Valid
9,Valid,12,Valid,Valid,10,Valid,Valid
13,Valid,11,Valid,Valid,10,Valid,Valid
13,Valid,15,Valid,Valid,10,Valid,Valid
12,Valid,10,Valid,Valid,10,Valid,Valid
12,Valid,14,Valid,Valid,10,Valid,Valid
15,Valid,13,Valid,Valid,10,Valid,Valid
16,Valid,11,Valid,Valid,10,Valid,Valid
13,Valid,10,Valid,Valid,10,Valid,Valid
15,Valid,14,Valid,Valid,10,Valid,Valid
12,Valid,12,Valid,Valid,10,Valid,Valid
11,Valid,13,Valid,Valid,10,Valid,Valid
11,Valid,11,Valid,Valid,10,Valid,Valid
16,Valid,11,Valid,Valid,10,Valid,Valid
12,Valid,12,Valid,Valid,10,Valid,Valid
14,Valid,13,Valid,Valid,10,Valid,Valid
12,Valid,16,Valid,Valid,10,Valid,Valid
12,Valid,15,Valid,Valid,10,Valid,Valid
13,Valid,9,Valid,Valid,10,Valid,Valid
13,Valid,12,Valid,Valid,10,Valid,Valid
13,Valid,12,Valid,Valid,10,Valid,Valid
14,Valid,12,Valid,Valid,10,Valid,Valid
11,Valid,15,Valid,Valid,10,Valid,Valid
11,Valid,12,Valid,Valid,10,Valid,Valid
11,Valid,19,Valid,Valid,10,Valid,Valid
16,Valid,13,Valid,Valid,10,Valid,Valid
14,Valid,9,Valid,Valid,10,Valid,Valid
15,Valid,13,Valid,Valid,10,Valid,Valid
14,Valid,11,Valid,Valid,10,Valid,Valid
12,Valid,14,Valid,Valid,10,Valid,Valid
10,Valid,12,Valid,Valid,10,Valid,Valid
13,Valid,11,Valid,Valid,10,Valid,Valid
13,Valid,11,Valid,Valid,10,Valid,Valid
12,Valid,14,Valid,Valid,10,Valid,Valid
14,Valid,13,Valid,Valid,10,Valid,Valid
12,Valid,15,Valid,Valid,10,Valid,Valid
13,Valid,13,Valid,Valid,10,Valid,Valid
15,Valid,13,Valid,Valid,10,Valid,Valid
10,Valid,10,Valid,Valid,10,Valid,Valid
11,Valid,10,Valid,Valid,10,Valid,Valid
14,Valid,9,Valid,Valid,10,Valid,Valid
12,Valid,13,Valid,Valid,10,Valid,Valid
16,Valid,21,Valid,Valid,10,Valid,Valid
17,Valid,13,Valid,Valid,10,Valid,Valid
11,Valid,12,Valid,Valid,10,Valid,Valid
17,Valid,14,Valid,Valid,10,Valid,Valid
13,Valid,15,Valid,Valid,10,Valid,Valid
10,Valid,19,Valid,Valid,10,Valid,Valid
16,Valid,17,Valid,Valid,10,Valid,Valid
13,Valid,10,Valid,Valid,10,Valid,Valid
13,Valid,12,Valid,Valid,10,Valid,Valid
14,Valid,14,Valid,Valid,10,Valid,Valid
14,Valid,13,Valid,Valid,10,Valid,Valid
12,Valid,18,Valid,Valid,10,Valid,Valid
15,Valid,12,Valid,Valid,10,Valid,Valid
10,Valid,11,Valid,Valid,10,Valid,Valid
16,Valid,12,Valid,Valid,10,Valid,Valid
10,Valid,13,Valid,Valid,10,Valid,Valid
16,Valid,12,Valid,Valid,10,Valid,Valid
13,Valid,12,Valid,Valid,10,Valid,Valid
13,Valid,12,Valid,Valid,10,Valid,Valid
16,Valid,12,Valid,Valid,10,Valid,Valid
13,Valid,15,Valid,Valid,10,Valid,Valid
13,Valid,11,Valid,Valid,10,Valid,Valid
11,Valid,15,Valid,Valid,10,Valid,Valid
14,Valid,13,Valid,Valid,10,Valid,Valid
17,Valid,12,Valid,Valid,10,Valid,Valid
15,Valid,14,Valid,Valid,10,Valid,Valid
12,Valid,15,Valid,Valid,10,Valid,Valid
10,Valid,14,Valid,Valid,10,Valid,Valid
16,Valid,12,Valid,Valid,10,Valid,Valid
11,Valid,14,Valid,Valid,10,Valid,Valid
18,Valid,14,Valid,Valid,10,Valid,Valid
17,Valid,14,Valid,Valid,10,Valid,Valid
13,Valid,12,Valid,Valid,10,Valid,Valid
14,Valid,10,Valid,Valid,10,Valid,Valid
17,Valid,20,Valid,Valid,10,Valid,Valid
12,Valid,10,Valid,Valid,10,Valid,Valid
13,Valid,14,Valid,Valid,10,Valid,Valid
11,Valid,14,Valid,Valid,10,Valid,Valid
14,Valid,13,Valid,Valid,10,Valid,Valid
16,Valid,13,Valid,Valid,10,Valid,Valid
15,Valid,11,Valid,Valid,10,Valid,Valid
13,Valid,13,Valid,Valid,10,Valid,Valid
16,Valid,14,Valid,Valid,10,Valid,Valid
18,Valid,16,Valid,Valid,10,Valid,Valid
12,Valid,13,Valid,Valid,10,Valid,Valid
12,Valid,12,Valid,Valid,10,Valid,Valid
10,Valid,12,Valid,Valid,10,Valid,Valid
11,Valid,13,Valid,Valid,10,Valid,Valid
14,Valid,17,Valid,Valid,10,Valid,Valid
12,Valid,13,Valid,Valid,10,Valid,Valid
14,Valid,16,Valid,Valid,10,Valid,Valid
16,Valid,12,Valid,Valid,10,Valid,Valid
